1,1.0,0.5,95.75618867400871,0.3999719861620663,MAXEVAL_REACHED
2,2.0,0.5,92.04280572373318,0.399998351235377,MAXEVAL_REACHED
3,4.0,0.5,84.15753065980462,0.39999712980564195,MAXEVAL_REACHED
4,8.0,0.5,70.37390148149453,0.39999350056833055,MAXEVAL_REACHED
5,16.0,0.5,58.48676850961198,0.39995546734110127,MAXEVAL_REACHED
6,32.0,0.5,43.71903343649379,0.39994112640516266,MAXEVAL_REACHED
7,64.0,0.5,32.92035872294804,0.3999896726587622,MAXEVAL_REACHED
8,128.0,0.5,26.25656159810906,0.3999967854137234,MAXEVAL_REACHED
9,256.0,0.5,22.136627682945132,0.3999833021046695,MAXEVAL_REACHED
10,512.0,0.5,20.502422101695473,0.39999658675567584,MAXEVAL_REACHED
1,1.0,0.5,98.98022211185697,0.3999649058222781,MAXEVAL_REACHED
2,2.0,0.5,95.24537130985183,0.3999984038385818,MAXEVAL_REACHED
3,4.0,0.5,86.22716563885862,0.39999827173785574,MAXEVAL_REACHED
4,8.0,0.5,73.04540050730672,0.39999094590473694,MAXEVAL_REACHED
5,16.0,0.5,62.6450228090082,0.39999887854835864,MAXEVAL_REACHED
6,32.0,0.5,51.53654559198682,0.3999941598958659,MAXEVAL_REACHED
7,64.0,0.5,43.592657998648136,0.39993905727304235,MAXEVAL_REACHED
8,128.0,0.5,37.82572982739447,0.3998091363842926,MAXEVAL_REACHED
9,256.0,0.5,32.26319024260232,0.3997611227388856,MAXEVAL_REACHED
10,512.0,0.5,28.213916065399502,0.3996217790547403,MAXEVAL_REACHED
1,1.0,0.5,99.65515048992518,0.3999882111980643,MAXEVAL_REACHED
2,2.0,0.5,96.0414356055808,0.39999878799712263,MAXEVAL_REACHED
3,4.0,0.5,86.91008458396105,0.399998801226,MAXEVAL_REACHED
4,8.0,0.5,73.83941722527184,0.3999895577860705,MAXEVAL_REACHED
5,16.0,0.5,63.68191531700385,0.3999438829954209,MAXEVAL_REACHED
6,32.0,0.5,53.91326425204528,0.3999971187304527,MAXEVAL_REACHED
7,64.0,0.5,47.34496835383653,0.39945266533728996,MAXEVAL_REACHED
8,128.0,0.5,41.075766647287296,0.39990108050321843,MAXEVAL_REACHED
9,256.0,0.5,35.07594665359064,0.39999730899523545,MAXEVAL_REACHED
10,512.0,0.5,29.93409191249281,0.39957186084308705,MAXEVAL_REACHED
1,1.0,0.5,98.98022211185697,0.3999649058222781,MAXEVAL_REACHED
2,2.0,0.5,95.24537130985183,0.3999984038385818,MAXEVAL_REACHED
3,4.0,0.5,86.22716563885862,0.39999827173785574,MAXEVAL_REACHED
4,8.0,0.5,73.04540050730672,0.39999094590473694,MAXEVAL_REACHED
5,16.0,0.5,62.6450228090082,0.39999887854835864,MAXEVAL_REACHED
6,32.0,0.5,51.53654559198682,0.3999941598958659,MAXEVAL_REACHED
7,64.0,0.5,43.592657998648136,0.39993905727304235,MAXEVAL_REACHED
8,128.0,0.5,37.82572982739447,0.3998091363842926,MAXEVAL_REACHED
9,256.0,0.5,32.26319024260232,0.3997611227388856,MAXEVAL_REACHED
10,512.0,0.5,28.213916065399502,0.3996217790547403,MAXEVAL_REACHED
1,1.0,0.5,99.65515048992518,0.3999882111980643,MAXEVAL_REACHED
2,2.0,0.5,96.0414356055808,0.39999878799712263,MAXEVAL_REACHED
3,4.0,0.5,86.91008458396105,0.399998801226,MAXEVAL_REACHED
4,8.0,0.5,73.83941722527184,0.3999895577860705,MAXEVAL_REACHED
5,16.0,0.5,63.68191531700385,0.3999438829954209,MAXEVAL_REACHED
6,32.0,0.5,53.91326425204528,0.3999971187304527,MAXEVAL_REACHED
7,64.0,0.5,47.34496835383653,0.39945266533728996,MAXEVAL_REACHED
8,128.0,0.5,41.075766647287296,0.39990108050321843,MAXEVAL_REACHED
9,256.0,0.5,35.07594665359064,0.39999730899523545,MAXEVAL_REACHED
10,512.0,0.5,29.93409191249281,0.39957186084308705,MAXEVAL_REACHED
