run_id,kind,seed,g_final,vol_final,gV_final,gray_final,total_evals,runtime,save_prefix
1,uniform,1,29.93409191249281,0.39957186084308705,-0.00042813915691297666,0.12862698306997095,500,171.2660013,SensitivityBeam\init_sensitivity\run_1_uniform_seed_1
2,random_small,1,28.89409639723627,0.3999979984487539,-2.0015512461335483e-6,0.1250368399157584,500,184.4269228,SensitivityBeam\init_sensitivity\run_2_random_small_seed_1
3,random_small,2,28.647312971846006,0.39989832850806517,-0.00010167149193485159,0.13173040971917743,500,179.455161,SensitivityBeam\init_sensitivity\run_3_random_small_seed_2
4,random_small,3,29.49933490357609,0.3999637420894803,-3.625791051969918e-5,0.13517453099796414,500,149.8156848,SensitivityBeam\init_sensitivity\run_4_random_small_seed_3
5,random_large,1,28.814448086031103,0.39974543568398985,-0.00025456431601017515,0.1294244257863314,500,167.8031645,SensitivityBeam\init_sensitivity\run_5_random_large_seed_1
6,random_large,2,29.693087812713554,0.3999806687348436,-1.933126515640815e-5,0.13227348696443364,500,182.8878568,SensitivityBeam\init_sensitivity\run_6_random_large_seed_2
7,random_large,3,29.194867040008166,0.3998124785715667,-0.00018752142843331265,0.13299646049830166,500,172.4209253,SensitivityBeam\init_sensitivity\run_7_random_large_seed_3
8,left_heavy,1,28.655069571680478,0.3998731787588761,-0.0001268212411238978,0.1324832611174293,500,166.1591556,SensitivityBeam\init_sensitivity\run_8_left_heavy_seed_1
9,right_heavy,1,29.227756610927987,0.3999705336540897,-2.9466345910333924e-5,0.13035875045323997,500,192.2648222,SensitivityBeam\init_sensitivity\run_9_right_heavy_seed_1
10,top_heavy,1,29.307375194692707,0.3999780622257857,-2.1937774214331185e-5,0.1443993478660476,500,151.3691352,SensitivityBeam\init_sensitivity\run_10_top_heavy_seed_1
11,bottom_heavy,1,29.82977151771896,0.3999025951868183,-9.740481318171179e-5,0.13320590487950212,500,166.9054938,SensitivityBeam\init_sensitivity\run_11_bottom_heavy_seed_1
